asin,count,star
0000031887,23,4.608695652173913
0123456479,6,4.166666666666667
1608299953,13,4.3076923076923075
1617160377,16,4.625
B00001W0KA,8,4.625
B00001WRHJ,6,3.5
B00004SR8W,12,4.666666666666667
B00004SR8Z,22,4.545454545454546
B00004SR9P,16,4
B00004U1J2,13,3.923076923076923
B000051SEN,8,4.5
B000051SEP,6,4.333333333333333
B00005JHKE,5,3.8
B00005JSBK,5,4.6
B00005KJXN,5,4.6
B00005TQI7,50,4.5
B0000643Q8,5,4.4
B000067R84,6,4.333333333333333
B00006I551,13,4.230769230769231
B00006XXGO,90,4.666666666666667
B0000722HK,12,4.416666666666667
B000072UMJ,111,4.594594594594595
B000074RL3,41,4.146341463414634
B000078CYM,8,4.375
B00007AS82,5,5
B00007FFL9,6,4.166666666666667
B00007GD8X,8,4.375
B00007GD9I,9,4.888888888888889
B00007GD9W,5,4.2
B00007GDAL,33,4.121212121212121
B00007GDD3,13,3.769230769230769
B00007GDG5,19,4.631578947368421
B00007IVVR,5,3.8
B000086211,20,3.8
B0000862FI,22,4.318181818181818
B0000864CZ,8,4.25
B0000865II,10,4.6
B0000866JI,5,4.6
B000086778,7,3.4285714285714284
B0000867AN,27,4.62962962962963
B0000867GG,5,4
B0000867ON,10,4.5
B0000868O9,59,4.0508474576271185
B000086910,75,4.213333333333333
B00008695M,21,4.761904761904762
B0000869QI,8,3.875
B000086Q9O,11,5
B0000891IO,21,3.7142857142857144
B0000891K0,32,4.03125
B00008AALU,6,4
B00008ECKG,60,4
B00008I8YM,34,4.352941176470588
B00008ID0B,33,4.333333333333333
B00008ID0L,20,4.3
B00008ID1O,11,3.8181818181818183
B00008ID39,31,4.32258064516129
B00008IEUW,8,3.5
B00008IOHR,10,3.9
B00008IPCG,5,4.4
B00008KH9C,42,3.9523809523809526
B00008KI3U,17,4.117647058823529
B00008LUS5,8,4.375
B00009ESZI,5,4.8
B00009OXE8,5,4.8
B00009QB5V,10,4.9
B00009QMR3,5,4.4
B00009R881,8,4.5
B00009WM7J,11,4.909090909090909
B00009ZM7Z,76,4.4868421052631575
B0000A4ZJD,7,4.428571428571429
B0000A51FU,6,4.166666666666667
B0000A522N,11,4.545454545454546
B0000A53UX,13,4.230769230769231
B0000AI44G,9,3.6666666666666665
B0000ANAKR,10,3.9
B0000ANC7S,12,4.333333333333333
B0000ANDEI,9,4.444444444444445
B0000ANDJY,35,4.771428571428571
B0000ANDU4,37,4.378378378378378
B0000ANECK,49,4.6938775510204085
B0000ANEXJ,5,4.6
B0000ANHST,117,4.487179487179487
B0000ASDJH,7,5
B0000ASFDC,20,4.35
B0000ASFQL,19,4.578947368421052
B0000ASH2G,7,4.285714285714286
B0000AT3NT,10,4.2
B0000AT7N2,68,4.573529411764706
B0000ATP8L,51,4.254901960784314
B0000AU0DH,5,4.4
B0000AUTD6,9,4.888888888888889
B0000AWHQ4,5,3.8
B0000AX6DE,10,4.2
B0000AZ10F,6,4.666666666666667
B0000AZ10I,6,4.666666666666667
B0000B35D3,27,4.407407407407407
B0000B35D8,36,4.138888888888889
B0000B35D9,13,4.538461538461538
B0000B35DB,10,4.1
B0000B35EG,13,3.4615384615384617
B0000B35EI,20,4.15
B0000B35EL,17,3.823529411764706
B0000B35EM,18,3.9444444444444446
B0000B35EQ,18,4.444444444444445
B0000B35G6,5,3.6
B0000B35GE,7,4.428571428571429
B0000B35GL,14,4.785714285714286
B0000B3DUK,5,4.4
B0000BNEQJ,11,4.2727272727272725
B0000BNGCD,12,4.5
B0000BW6IN,17,4.176470588235294
B0000BX8L1,29,4.448275862068965
B0000C321X,205,4.263414634146342
B0000C9ZB8,5,4.4
B0000C9ZBX,21,4.333333333333333
B0000C9ZBZ,5,4.2
B0000C9ZD1,12,4.833333333333333
B0000C9ZDD,5,4.4
B0000CBDQS,11,4.363636363636363
B0000CBXEI,8,4.5
B0000CNR1L,28,4.285714285714286
B0000DCS5T,22,4.636363636363637
B0000DD6C2,6,4.333333333333333
B0000DYKET,30,4.566666666666666
B0000DYNCD,19,4.7368421052631575
B0000DYNCP,6,5
B0000DYNJ3,5,4.8
B0000DZJL4,14,4.714285714285714
B0000DZUZ1,5,4.8
B0000E0125,27,4.296296296296297
B0000E015O,25,4.48
B0000E0VGY,6,3.8333333333333335
B0000E0VIJ,9,4.777777777777778
B0000E1VS3,5,3.4
B0000T0N8K,6,4.833333333333333
B0000TII00,8,4.875
B0000TII0K,13,4.461538461538462
B0000TII3C,8,4.5
B0000TIIH8,10,4.9
B0000TIIPA,5,3.8
B0000TIIPK,6,4.666666666666667
B0000TIIRS,6,4.333333333333333
B0000TIIZ0,13,4.538461538461538
B0000TIJ4U,13,4.769230769230769
B0000TIJ72,7,3
B0000TIJ7C,8,4.5
B0000TIKK8,32,4.71875
B0000TQJU6,6,3.8333333333333335
B0000TSIKK,5,4.8
B0000TW2AC,11,3.4545454545454546
B0000TW41Y,30,4.566666666666666
B0000UIUNE,15,4.133333333333334
B0000UIY3U,21,4.380952380952381
B0000UZ5P0,9,4.555555555555555
B0000V9E3S,70,4.628571428571429
B0000VC1OC,11,4.7272727272727275
B0000W2GGE,11,4
B0000WL0WA,23,4.478260869565218
B0000WL1Q0,7,5
B0000WL386,5,4.8
B0000WL7HI,12,4.75
B0000WL9HQ,5,4.4
B0000WLSCW,64,4.4375
B0000X5EJO,12,3.9166666666666665
B0000X5FAM,5,4
B0000Y5T7A,22,3.590909090909091
B0000YEC8C,14,4.214285714285714
B0000YECC8,5,4
B0000ZBSBU,64,3.8125
B0000ZBSGU,40,4.025
B0000ZC8GO,6,3.5
B0000ZCB7U,10,4.3
B0000ZCE0O,7,4.142857142857143
B0000ZCENG,8,4.5
B0000ZCH4W,16,4.25
B0000ZD54S,8,4.125
B0000ZDSDG,60,4.25
B0000ZE4ZW,27,4.555555555555555
B0000ZE6AK,16,4.25
B0000ZE74A,11,4.363636363636363
B0000ZE7K4,5,3.2
B0000ZEPGA,67,3.8507462686567164
B0000ZFEWY,9,5
B0000ZFHAI,23,3.782608695652174
B0000ZFHJY,11,4.818181818181818
B0000ZFIOS,5,4
