helpful,reviewerName,reviewerID,reviewTime,reviewText,overall,summary,asin,unixReviewTime
"[0, 0]",0902virgo,A1PMGOX24BWDAZ,"12 3, 2012","I received the necklace a few days ago,i got one for me and my sisters. You can not beat this price and i really didnt care where it can from.. Even though it was shipped from china it did not take that long to be delivered to me which was good. I would definitely order from again.",5,Really cute,B005LERHD8,1354492800
"[0, 0]",adversity,A3FCLEFNZ33BW3,"03 26, 2013",I CHOSE THIS FOR MY DAUGHTER ALONG WITH ANOTHER ONE LIKE THIS SO SHE COULD CHOOSE WHICH ONE AND SHE WAS HAPPY WITH THIS ITEM,5,GOES WITH ANOTHER ONE,B005LERHD8,1364256000
"[0, 0]",A. Friscia,A2LESKVQIJC07P,"05 15, 2013","I bought one for myself and one for my daughter. We both wear them very often, and have had many compliments. It goes with all clothing, and looks very pretty. It's very substantial, but not overly heavy. The stones are nice and the colors are great.",5,"Vintage, Retro Colorful Crystal Owl Pendant and Chain",B005LERHD8,1368576000
"[0, 0]","AJccc4Life ""AJccc4Life""",A37URRNLNUKSAA,"02 20, 2013",These are similar to the ones you see in costume jewelry stores but  a lot more inexpensive. It is definitely a statement piece as it is quite large but I like unique jewelry like this. Wasn't as cheap looking as I expected and a good value for a small price.,5,Very nice necklace,B005LERHD8,1361318400
"[0, 0]","Alicia7tommy ""Alicia Andrews""",A1HFSY6W8LJNJM,"07 23, 2012",The owl necklace is really cute but made real thin. It is quit large and very fashionable. Yes it is kind of cheaply made but you are paying under $2 for it so it is a super steal. You will have to wait a few weeks to get it because it comes from China.,4,Really Cute,B005LERHD8,1343001600
"[0, 0]",Alicia Yates,A168W1XDQRE2IQ,"06 10, 2014",Cute set there's only one piece I did not like it is a little childish looking for me but the other two are perfect,4,Nice set,B005LERHD8,1402358400
"[0, 0]",ali,A2WXIA8LIT5XCD,"03 14, 2014","would recommend, and was a real bargain,  It goes with a lot of shirts and looks good with t shirts of various colors.",5,loved it,B005LERHD8,1394755200
"[0, 0]",amanda,A2WKUHVDIFHMY9,"12 26, 2013",bought this for a friend and she loved it. there was nothing wrong with it and the jewels were still intact thank goodness :),4,love,B005LERHD8,1388016000
"[0, 0]",Amanda Simcoe,A2R42GD26S01S0,"01 7, 2014","So cheap! Bought it for myself, gave it to my daughter for pretend jewelry. The pic Is adorable could be a cute necklace if it was made a little better.",1,Cheap,B005LERHD8,1389052800
"[0, 0]",Amanda Starcher,A11FNXJY7K666M,"01 27, 2014","This is a really cute piece of jewelery. The colors and appearance are almost spot on to the pictures and description. The only reason I didn't give it five stars, which it deserves for the visual appearance, is due to the sharp edges of the metal and the glue that can be seen, especially around the smaller jewels. Also, the purple-ish jewels have divots in them that makes it look like it's a cheap bead. However, for the price and cuteness of it I'm happy with it. I gave it to my daughter to wear and she loves to show it off.",4,"Very cute, larger than it appears",B005LERHD8,1390780800
